,pdb_code,no_folder,no_ptn_file,no_pck_file,no_lig_file_sdf,no_lig_file_mol2,empty_ptn_file,empty_pck_file,empty_lig_file_sdf,empty_lig_file_mol2,available,subset
18171,6nmb,False,False,False,False,False,False,False,False,False,True,refined
18184,6nfy,False,False,False,False,False,False,False,True,False,True,refined
18187,6nfh,False,False,False,False,False,False,False,False,False,True,refined
18190,6ne5,False,False,False,False,False,False,False,False,False,True,refined
18191,6ndl,False,False,False,False,False,False,False,False,False,True,refined
18194,6nco,False,False,False,False,False,False,False,False,False,True,refined
18195,6ncn,False,False,False,False,False,False,False,False,False,True,refined
18202,6n9l,False,False,False,False,False,False,False,False,True,True,refined
18206,6n95,False,False,False,False,False,False,False,False,True,True,refined
18211,6n8x,False,False,False,False,False,False,False,False,False,True,refined
18218,6n7d,False,False,False,False,False,False,False,True,False,True,refined
18220,6n7b,False,False,False,False,False,False,False,True,False,True,refined
18221,6n7a,False,False,False,False,False,False,False,False,False,True,refined
18222,6n79,False,False,False,False,False,False,False,True,False,True,refined
18223,6n78,False,False,False,False,False,False,False,False,False,True,refined
18227,6n5x,False,False,False,False,False,False,False,False,False,True,refined
18239,6n3y,False,False,False,False,False,False,False,True,False,True,refined
18251,6n0j,False,False,False,False,False,False,False,False,False,True,refined
18252,6n0k,False,False,False,False,False,False,False,False,False,True,refined
18257,6mxc,False,False,False,False,False,False,False,True,True,False,refined
18273,6mqe,False,False,False,False,False,False,False,False,False,True,refined
18274,6mqc,False,False,False,False,False,False,False,False,False,True,refined
18289,6mnv,False,False,False,False,False,False,False,False,True,True,refined
18292,6mnc,False,False,False,False,False,False,False,False,False,True,refined
18298,6mm2,False,False,False,False,False,False,False,False,True,True,refined
18300,6mlp,False,False,False,False,False,False,False,True,False,True,refined
18301,6mlo,False,False,False,False,False,False,False,False,False,True,refined
18302,6mln,False,False,False,False,False,False,False,False,False,True,refined
18303,6mlj,False,False,False,False,False,False,False,False,False,True,refined
18304,6mli,False,False,False,False,False,False,False,True,False,True,refined
18306,6mlg,False,False,False,False,False,False,False,False,False,True,refined
18307,6mle,False,False,False,False,False,False,False,False,False,True,refined
18308,6ml9,False,False,False,False,False,False,False,False,False,True,refined
18309,6mla,False,False,False,False,False,False,False,False,False,True,refined
18310,6mkw,False,False,False,False,False,False,False,True,False,True,refined
18311,6mku,False,False,False,False,False,False,False,False,False,True,refined
18316,6mji,False,False,False,False,False,False,False,False,False,True,refined
18317,6mja,False,False,False,False,False,False,False,False,False,True,refined
18318,6mj4,False,False,False,False,False,False,False,False,False,True,refined
18323,6mh7,False,False,False,False,False,False,False,False,False,True,refined
18324,6mh1,False,False,False,False,False,False,False,False,False,True,refined
18325,6mg5,False,False,False,False,False,False,False,False,False,True,refined
18333,6mdu,False,False,False,False,False,False,False,True,False,True,refined
18337,6md8,False,False,False,False,False,False,False,True,False,True,refined
18339,6md6,False,False,False,False,False,False,False,False,False,True,refined
18341,6md0,False,False,False,False,False,False,False,False,False,True,refined
18346,6maj,False,False,False,False,False,False,False,False,False,True,refined
18349,6m8q,False,False,False,False,False,False,False,False,False,True,refined
18367,6kjd,False,False,False,False,False,False,False,False,False,True,refined
18379,6k3l,False,False,False,False,False,False,False,False,False,True,refined
18385,6k04,False,False,False,False,False,False,False,False,False,True,refined
18389,6jtc,False,False,False,False,False,False,False,False,False,True,refined
18397,6jon,False,False,False,False,False,False,False,False,True,True,refined
18398,6jof,False,False,False,False,False,False,False,False,False,True,refined
18414,6jfk,False,False,False,False,False,False,False,True,True,False,refined
18415,6jdl,False,False,False,False,False,False,False,False,True,True,refined
18416,6jdi,False,False,False,False,False,False,False,False,True,True,refined
18417,6jbe,False,False,False,False,False,False,False,False,False,True,refined
18418,6jbb,False,False,False,False,False,False,False,False,False,True,refined
18419,6jb4,False,False,False,False,False,False,False,False,False,True,refined
18420,6jb0,False,False,False,False,False,False,False,False,False,True,refined
18421,6jay,False,False,False,False,False,False,False,False,False,True,refined
18422,6j0o,False,False,False,False,False,False,False,True,False,True,refined
18424,6jaw,False,False,False,False,False,False,False,False,False,True,refined
18425,6jav,False,False,False,False,False,False,False,False,False,True,refined
18426,6jaq,False,False,False,False,False,False,False,False,False,True,refined
18427,6jap,False,False,False,False,False,False,False,False,False,True,refined
18428,6jao,False,False,False,False,False,False,False,False,False,True,refined
18429,6jan,False,False,False,False,False,False,False,False,False,True,refined
18430,6jam,False,False,False,False,False,False,False,False,False,True,refined
18431,6jag,False,False,False,False,False,False,False,False,False,True,refined
18432,6jad,False,False,False,False,False,False,False,False,False,True,refined
18433,6j9y,False,False,False,False,False,False,False,False,False,True,refined
18434,6j9w,False,False,False,False,False,False,False,False,False,True,refined
18439,6j7e,False,False,False,False,False,False,False,False,True,True,refined
18440,6j72,False,False,False,False,False,False,False,True,True,False,refined
18444,6j3p,False,False,False,False,False,False,False,True,False,True,refined
18445,6j3o,False,False,False,False,False,False,False,True,False,True,refined
18446,6j1l,False,False,False,False,False,False,False,False,False,True,refined
18449,6j0g,False,False,False,False,False,False,False,False,True,True,refined
18454,6ixd,False,False,False,False,False,False,False,False,False,True,refined
18470,6iou,False,False,False,False,False,False,False,False,False,True,refined
18472,6ios,False,False,False,False,False,False,False,False,False,True,refined
18482,6im4,False,False,False,False,False,False,False,False,False,True,refined
18490,6iht,False,False,False,False,False,False,False,False,True,True,refined
18491,6ift,False,False,False,False,False,False,False,False,False,True,refined
18492,6if0,False,False,False,False,False,False,False,False,False,True,refined
18493,6iez,False,False,False,False,False,False,False,False,False,True,refined
18495,6idg,False,False,False,False,False,False,False,False,True,True,refined
