,pdb_code,no_folder,no_ptn_file,no_pck_file,no_lig_file_sdf,no_lig_file_mol2,empty_ptn_file,empty_pck_file,empty_lig_file_sdf,empty_lig_file_mol2,available
19400,6u7p,False,False,False,False,False,False,False,True,False,True
19401,6u80,False,False,False,False,False,False,False,False,False,True
19402,6u8b,False,False,False,False,False,False,False,False,False,True
19403,6u8l,False,False,False,False,False,False,False,False,False,True
19404,6u8o,False,False,False,False,False,False,False,False,False,True
19405,6u9v,False,False,False,False,False,False,False,True,True,False
19406,6ud2,False,False,False,False,False,False,False,False,False,True
19407,6udi,False,False,False,False,False,False,False,False,False,True
19408,6udt,False,False,False,False,False,False,False,False,False,True
19409,6udu,False,False,False,False,False,False,False,False,False,True
19410,6udv,False,False,False,False,False,False,False,False,False,True
19411,6udx,False,False,False,False,False,False,False,False,False,True
19412,6udy,False,False,False,False,False,False,False,False,False,True
19413,6ueg,False,False,False,False,False,False,False,False,False,True
19414,6uf0,False,False,False,False,False,False,False,False,False,True
19415,6ufn,False,False,False,False,False,False,False,False,False,True
19416,6ufo,False,False,False,False,False,False,False,False,False,True
19417,6ugn,False,False,False,False,False,False,False,False,False,True
19418,6ugo,False,False,False,False,False,False,False,False,False,True
19419,6ugp,False,False,False,False,False,False,False,False,False,True
19420,6ugq,False,False,False,False,False,False,False,False,False,True
19421,6ugr,False,False,False,False,False,False,False,False,False,True
19422,6ugz,False,False,False,False,False,False,False,False,False,True
19423,6uh0,False,False,False,False,False,False,False,False,False,True
19424,6uhu,False,False,False,False,False,False,False,True,False,True
19425,6uhv,False,False,False,False,False,False,False,False,False,True
19426,6uii,False,False,False,False,False,False,False,False,False,True
19427,6uil,False,False,False,False,False,False,False,False,False,True
19428,6uim,False,False,False,False,False,False,False,False,False,True
19429,6ul8,False,False,False,False,False,False,False,False,False,True
19430,6un1,False,False,False,False,False,False,False,False,False,True
19431,6un3,False,False,False,False,False,False,False,False,False,True
19432,6uvp,False,False,False,False,False,False,False,False,False,True
19433,6uvv,False,False,False,False,False,False,False,False,False,True
19434,6uvy,False,False,False,False,False,False,False,False,False,True
19435,6uwp,False,False,False,False,False,False,False,False,False,True
19436,6uwv,False,False,False,False,False,False,False,False,False,True
19437,6uyx,False,False,False,False,False,False,False,False,True,True
19438,6uyy,False,False,False,False,False,False,False,False,True,True
19439,6uyz,False,False,False,False,False,False,False,False,False,True
19440,6v1c,False,False,False,False,False,False,False,False,False,True
19441,6v5l,False,False,False,False,False,False,False,True,False,True
