,0
0,2mwp
1,5tcc
2,4mhs
3,1w13
4,5qac
5,1g9s
6,2g78
7,2wyg
8,3o9d
9,2ke1
10,5f63
11,3dzt
12,2c57
13,3v2w
14,5d21
15,5u9i
16,3i6o
17,2jk7
18,3b3s
19,5f08
20,4led
21,4elh
22,4c3k
23,3unn
24,6fby
25,5ewh
26,5hbs
27,6esj
28,2jjb
29,4o62
30,1tpw
31,5m77
32,3suu
33,5m29
34,4n7u
35,3ffp
36,2z4o
37,1c4u
38,5ny1
39,1lor
40,6n3v
41,6j3o
42,4ca8
43,4lil
44,6epa
45,1zpa
46,4k9y
47,1ih0
48,4aph
49,6pvs
50,1usn
51,3dri
52,5f9b
53,4aze
54,3ikg
55,4f7j
56,1aid
57,5huy
58,3ies
59,3jy0
60,1my4
61,2r43
62,4g8n
63,5ov8
64,6gfs
65,1sdt
66,6mxb
67,5wag
68,1wdn
69,5d3j
70,2ndo
71,4b2l
72,5mgl
73,5ml8
74,1u65
75,4eos
76,4poj
77,6h38
78,1mto
79,2g63
80,5w4e
81,5vad
82,6b67
83,2fkf
84,6ugr
85,3s74
86,5ggl
87,2l1r
88,5uex
89,1k1j
90,4mgb
91,5km0
92,4dy6
93,3k1j
94,5k6s
95,3e0p
96,1yci
97,2vk2
98,5cbs
99,4yas
100,1gz3
101,2j47
102,3jyj
103,3u7k
104,4ycm
105,5yy4
106,5e73
107,2fs9
108,4r0a
109,2pv3
110,5njx
111,5abe
112,6qav
113,4jv8
114,1pye
115,1sqn
116,1c5c
117,6h8c
118,4fab
119,4ibj
120,2rd6
121,4o6w
122,2y82
123,4qjp
124,5zyl
125,5ier
126,6p3u
127,5kva
128,3bmq
129,2g72
130,5sz2
131,1n1m
132,4zyz
133,1n3i
134,3mag
135,1uou
136,6k04
137,4wr8
138,6qat
139,2zq1
140,2vo4
141,5wbl
142,5ywx
143,4oc4
144,3fvk
145,4hwt
146,3fsm
147,6j0k
148,3tjh
149,4hla
150,4ty1
151,2gh9
152,3tne
153,6g37
154,6f92
155,3d91
156,1jwt
157,4ysl
158,1sb1
159,4u0e
160,6j63
161,2zc9
162,2ceq
163,1g74
164,6dh0
165,2oi2
166,4whr
167,4dai
168,5w44
169,4xxh
170,3rz5
171,6hpg
172,4qij
173,2q8y
174,2fs8
175,6goo
176,2zjv
177,4yrd
178,6d59
179,4bgy
180,5i25
181,3pwm
182,3vw0
183,1akv
184,1hk5
185,5qau
186,4ce1
187,4h7q
188,1ckb
189,5km3
190,2cbz
191,6gy5
192,5wzr
193,5mnh
194,4q3s
195,2v6n
196,6pve
197,2r0h
198,4nkt
199,1elr
200,1dif
201,2ovv
202,3efj
203,4gj3
204,4do5
205,2l12
206,4pli
207,3lgp
208,4unp
209,2rkn
210,4cc3
211,1g3b
212,4mm7
213,2gbg
214,4z93
215,2oyl
216,3gcs
217,6ey9
218,1w11
219,1q1g
220,3g7l
221,3hl5
222,5vm0
223,3zt1
224,6f9t
225,2vhj
226,2oc1
227,2ovy
228,6i0z
229,2v3u
230,1qca
231,5u4g
232,3o75
233,4q06
234,5elv
235,5j4n
236,2v54
237,5c5h
238,3d67
239,1ft7
240,3vdc
241,2wnj
242,4qnu
243,3i60
244,3g2u
245,3cyy
246,4n98
247,4auj
248,6c3u
